City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Konosha,RU,60.9736,40.257,9.57,97,88,2.59,overcast clouds
79,Kaitangata,NZ,-46.2817,169.8464,55.76,70,36,11.83,scattered clouds
80,Ponta Do Sol,PT,32.6667,-17.1,68.72,77,20,5.86,few clouds
81,Hasaki,JP,35.7333,140.8333,50.4,75,100,20.76,overcast clouds
82,Kamenka,RU,51.3223,42.7678,21.29,56,1,6.22,clear sky
83,Thompson,CA,55.7435,-97.8558,-16.17,92,21,6.51,few clouds
84,Talaya,RU,61.3833,152.75,-20.87,98,100,3.24,overcast clouds
85,Airai,TL,-8.9266,125.4092,67.71,77,98,1.32,overcast clouds
86,Santa Fe,AR,-31.6333,-60.7,81.01,61,97,5.99,light rain
87,Camana,PE,-16.6228,-72.7111,67.59,82,15,7.25,few clouds
88,Codrington,AU,-38.2667,141.9667,61.36,72,91,10.78,overcast clouds
89,Lebu,CL,-37.6167,-73.65,53.35,74,0,21.81,clear sky
90,Molchanovo,RU,57.5817,83.7692,-20.97,100,7,2.39,clear sky
91,Chinhoyi,ZW,-17.3667,30.2,60.82,78,36,4.68,scattered clouds
92,At-Bashi,KG,41.1702,75.8106,11.93,72,17,2.53,few clouds
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.17,92,96,13.56,light rain
94,Tura,IN,25.5198,90.2201,60.22,88,1,3.67,clear sky
95,Henties Bay,NA,-22.116,14.2845,60.35,89,9,5.5,clear sky
96,Kahului,US,20.8947,-156.47,83.97,74,40,12.66,scattered clouds
97,Bethel,US,41.3712,-73.414,54.43,64,100,13.8,overcast clouds
98,Altay,CN,47.8667,88.1167,0.54,48,87,7.96,overcast clouds
99,Novoagansk,RU,61.9449,76.6625,-18.26,100,27,1.34,scattered clouds
100,Aswan,EG,24.0934,32.907,65.68,39,40,6.87,scattered clouds
101,Moss Vale,AU,-34.55,150.3833,63.16,47,83,6.44,broken clouds
102,Hirado,JP,33.3597,129.5531,45.39,61,79,20.0,broken clouds
103,Filadelfia,US,39.9523,-75.1638,52.23,62,100,17.27,overcast clouds
104,Nanortalik,GL,60.1432,-45.2371,28.26,78,99,34.67,overcast clouds
105,Cherskiy,RU,68.75,161.3,7.12,96,100,6.22,light snow
106,Kushiro,JP,42.975,144.3747,26.76,43,22,23.4,few clouds
107,Camacupa,AO,-12.0167,17.4833,60.22,97,77,2.46,light rain
108,Korla,CN,41.7597,86.1469,14.05,21,51,4.74,broken clouds
109,Oktyabrskoye,RU,43.0645,44.7417,30.34,100,100,0.0,overcast clouds
110,Vostok,RU,46.4856,135.8833,-6.43,92,100,12.64,overcast clouds
111,Lagoa,PT,39.05,-27.9833,61.7,75,2,5.97,clear sky
112,Soyo,AO,-6.1349,12.3689,77.05,81,67,4.7,broken clouds
113,Yellowknife,CA,62.456,-114.3525,-17.45,82,79,4.0,broken clouds
114,Maldonado,UY,-34.6667,-54.9167,73.22,83,18,15.73,few clouds
115,Doha,QA,25.2867,51.5333,73.38,83,0,3.44,clear sky
116,Bemidji,US,47.4736,-94.8803,7.92,84,0,12.66,clear sky
117,Castro,BR,-24.7911,-50.0119,61.07,97,92,4.9,overcast clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,58,7.0,broken clouds
119,Hay River,CA,60.8156,-115.7999,-14.93,94,40,7.54,scattered clouds
120,Hualmay,PE,-11.0964,-77.6139,67.41,84,60,7.4,broken clouds
121,Fairbanks,US,64.8378,-147.7164,6.22,79,100,0.0,overcast clouds
122,Guerrero Negro,MX,27.9769,-114.0611,61.99,67,41,13.91,scattered clouds
123,Santa Quiteria Do Maranhao,BR,-3.5156,-42.5467,76.73,87,93,3.87,overcast clouds
124,Khandagayty,RU,50.7333,92.05,-18.24,91,94,5.5,overcast clouds
125,Lakes Entrance,AU,-37.8811,147.981,65.16,65,34,7.14,scattered clouds
126,Aykhal,RU,66.0,111.5,-25.87,98,99,14.32,light snow
127,College,US,64.8569,-147.8028,6.21,79,100,0.0,overcast clouds
128,Grand Baie,MU,-20.0182,57.5802,72.45,75,55,3.0,broken clouds
129,Valparaiso,CL,-33.0393,-71.6273,60.44,77,20,4.61,few clouds
130,Usakos,NA,-22.0,15.6,76.91,34,12,2.57,few clouds
131,Palekh,RU,56.8028,41.8572,8.51,97,67,2.33,broken clouds
132,Severobaykalsk,RU,55.65,109.3167,-3.71,80,100,6.46,overcast clouds
133,Saldanha,ZA,-33.0117,17.9442,62.56,90,52,8.08,broken clouds
134,Saint George,US,37.1041,-113.5841,55.26,26,0,5.75,clear sky
135,Nikolskoye,RU,59.7035,30.7861,24.69,91,98,3.31,overcast clouds
136,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,4.61,light rain
137,Kashi,CN,39.4547,75.9797,17.98,25,47,1.5,scattered clouds
138,Canutama,BR,-6.5339,-64.3831,78.94,82,78,1.86,broken clouds
139,Banda Aceh,ID,5.5577,95.3222,77.86,80,99,3.2,overcast clouds
140,Ixtapa,MX,20.7,-105.2,77.23,78,40,5.75,scattered clouds
141,Iqaluit,CA,63.7506,-68.5145,-20.31,68,68,11.99,broken clouds
142,Nangomba,TZ,-10.9,38.5,71.94,88,30,2.3,light rain
143,Ha Giang,VN,22.8333,104.9833,65.37,98,100,2.35,overcast clouds
144,Sawtell,AU,-30.3833,153.1,63.19,94,100,10.36,light rain
145,Mutis,CO,6.2262,-77.4044,76.59,89,97,2.73,light rain
146,Saurimo,AO,-9.6608,20.3916,62.2,97,99,1.41,light rain
147,Tiksi,RU,71.6872,128.8694,-11.16,99,100,14.65,overcast clouds
148,Vardo,NO,70.3705,31.1107,31.98,80,100,5.75,overcast clouds
149,Lima,PE,-12.0432,-77.0282,68.25,68,0,14.97,clear sky
150,Puerto Suarez,BO,-18.95,-57.8,77.14,68,89,9.82,overcast clouds
151,Kilindoni,TZ,-7.9139,39.6668,79.25,82,62,9.44,broken clouds
152,Along,IN,28.1667,94.7667,53.83,68,24,1.74,few clouds
153,Kodiak,US,57.79,-152.4072,26.11,63,0,3.44,clear sky
154,Chokurdakh,RU,70.6333,147.9167,0.03,97,100,9.95,light snow
155,Qarchi Gak,AF,37.04,66.7889,50.85,67,100,12.08,overcast clouds
156,Dikson,RU,73.5069,80.5464,22.46,95,100,12.12,overcast clouds
157,Tilichiki,RU,60.4667,166.1,31.3,98,100,33.31,heavy snow
158,Musoma,TZ,-1.5,33.8,68.77,80,100,6.29,light rain
159,La Marque,US,29.3686,-94.9713,60.01,52,1,5.01,clear sky
160,Saint-Pierre,RE,-21.3393,55.4781,74.88,60,40,6.91,scattered clouds
161,Vestmanna,FO,62.1564,-7.1664,47.32,100,100,25.32,mist
162,Araouane,ML,18.9048,-3.5265,72.57,16,99,9.48,overcast clouds
163,Praia,CV,14.9215,-23.5087,74.39,66,75,12.24,broken clouds
164,Port Lincoln,AU,-34.7333,135.8667,63.07,67,10,12.3,clear sky
165,Hithadhoo,MV,-0.6,73.0833,80.62,73,56,7.74,broken clouds
166,Te Anau,NZ,-45.4167,167.7167,59.38,55,82,4.83,broken clouds
167,Mendi,PG,-6.1761,143.6513,67.84,63,98,3.04,overcast clouds
168,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.52,82,99,21.12,overcast clouds
169,Flinders,AU,-34.5833,150.8552,71.19,65,96,4.0,overcast clouds
170,Jaguarari,BR,-10.2639,-40.1958,70.43,82,99,3.6,light rain
171,Yulara,AU,-25.2406,130.9889,81.16,16,1,11.86,clear sky
172,Grasse,FR,43.6667,6.9167,45.79,85,100,0.0,overcast clouds
173,Berlevag,NO,70.8578,29.0864,32.0,86,40,9.22,scattered clouds
174,Mancio Lima,BR,-7.6142,-72.8958,84.15,53,87,5.41,overcast clouds
175,Yar-Sale,RU,66.8333,70.8333,-10.48,100,20,3.65,few clouds
176,Provideniya,RU,64.3833,-173.3,28.51,74,0,4.47,clear sky
177,Bluff,NZ,-46.6,168.3333,50.81,63,81,19.19,broken clouds
178,Naze,JP,28.3667,129.4833,59.43,76,100,19.48,overcast clouds
179,Osakarovka,KZ,50.565,72.5692,5.4,72,100,20.18,overcast clouds
180,Altus,US,34.6381,-99.334,40.51,62,0,6.91,clear sky
181,Miranda,CO,3.2499,-76.2281,66.09,91,86,3.49,overcast clouds
182,Sao Filipe,CV,14.8961,-24.4956,75.6,64,75,8.46,broken clouds
183,Belmonte,BR,-15.8631,-38.8828,76.89,90,100,9.57,light rain
184,Ostrovnoy,RU,68.0531,39.5131,21.76,91,91,6.96,overcast clouds
185,Cape Town,ZA,-33.9258,18.4232,71.38,80,65,3.0,broken clouds
186,Niltepec,MX,16.5667,-94.6167,79.34,76,28,9.84,scattered clouds
187,Touros,BR,-5.1989,-35.4608,78.91,69,100,11.54,overcast clouds
188,Mildura,AU,-34.2,142.15,69.08,56,20,14.81,few clouds
189,Walvis Bay,NA,-22.9575,14.5053,61.34,83,23,4.97,few clouds
190,Kapustin Yar,RU,48.5831,45.7372,23.11,44,1,8.59,clear sky
191,Devils Lake,US,48.1128,-98.8651,3.18,85,0,0.0,clear sky
192,Ossora,RU,59.2353,163.0719,35.02,99,100,14.41,snow
193,Tuatapere,NZ,-46.1333,167.6833,53.58,74,93,9.55,overcast clouds
194,Atbasar,KZ,51.8,68.3333,7.45,77,100,15.75,overcast clouds
195,Laukaa,RU,58.7372,29.8453,17.42,96,61,3.0,broken clouds
196,Salamanca,ES,40.8333,-6.0,41.0,88,100,6.08,overcast clouds
197,Shingu,JP,33.7333,135.9833,49.05,59,65,5.53,broken clouds
198,Mangualde,PT,40.6043,-7.7612,44.69,90,100,6.69,overcast clouds
199,Abu Samrah,SY,35.3029,37.1841,53.49,91,79,3.71,broken clouds
200,Benoy,TD,8.9833,16.3199,71.83,30,88,5.03,overcast clouds
201,Seoul,KR,37.5683,126.9778,20.64,22,19,0.81,few clouds
202,Upernavik,GL,72.7868,-56.1549,7.43,91,100,18.95,light snow
203,Kachug,RU,53.9606,105.8817,0.52,93,100,8.48,light snow
204,Hobyo,SO,5.3505,48.5268,79.0,77,17,11.07,few clouds
205,Puri,IN,19.8,85.85,70.32,72,4,7.85,clear sky
206,Marondera,ZW,-18.1853,31.5519,50.72,80,0,4.56,clear sky
207,Mount Isa,AU,-20.7333,139.5,83.97,30,0,13.8,clear sky
208,Haines Junction,CA,60.7522,-137.5108,-0.42,86,99,0.92,overcast clouds
209,Banyo,CM,6.75,11.8167,67.19,41,100,2.59,overcast clouds
210,Bereda,ES,43.2686,-7.5406,43.57,100,65,3.62,broken clouds
211,Makakilo City,US,21.3469,-158.0858,83.95,63,100,10.36,overcast clouds
212,Cidreira,BR,-30.1811,-50.2056,70.59,93,99,15.79,light rain
213,Birjand,IR,32.8663,59.2211,50.63,36,100,3.83,overcast clouds
214,Santa Elena,EC,-2.2333,-80.85,71.91,80,52,10.27,broken clouds
215,Bakchar,RU,57.0186,82.0711,-17.41,100,22,2.26,few clouds
216,Korsakov,RU,46.6328,142.7813,13.84,76,93,23.58,overcast clouds
217,Sechura,PE,-5.5569,-80.8222,70.27,73,35,14.05,scattered clouds
218,Amahai,ID,-3.3333,128.9167,80.38,81,100,2.77,overcast clouds
219,Merauke,ID,-8.4667,140.3333,81.14,81,100,11.56,overcast clouds
220,Gunjur,GM,13.2019,-16.7339,77.27,68,38,11.48,scattered clouds
221,Trinidad,BO,-14.8333,-64.9,83.46,52,17,5.41,few clouds
222,Mlimba,TZ,-8.8,35.8167,71.56,93,53,1.39,light rain
223,Pingliang,CN,35.5392,106.6861,18.19,29,93,1.1,overcast clouds
224,Lasa,IT,46.6166,10.7002,32.02,86,99,2.28,overcast clouds
225,Paamiut,GL,61.994,-49.6678,25.36,85,100,44.63,overcast clouds
226,Isangel,VU,-19.55,169.2667,85.1,69,100,9.28,overcast clouds
227,Muros,ES,42.7762,-9.0603,47.08,93,95,5.84,overcast clouds
228,Lavrentiya,RU,65.5833,-171.0,19.69,92,28,8.86,scattered clouds
229,Khatanga,RU,71.9667,102.5,-28.41,96,81,7.07,broken clouds
230,Hofn,IS,64.2539,-15.2082,47.61,99,100,15.12,overcast clouds
231,Luorong,CN,24.4058,109.6086,39.22,85,100,14.54,overcast clouds
232,Saskylakh,RU,71.9167,114.0833,-27.26,99,100,8.28,overcast clouds
233,Kalabo,ZM,-14.97,22.6814,70.79,67,35,4.59,scattered clouds
234,Ginda,IN,30.6945,78.4932,47.16,17,0,7.74,clear sky
235,Carnarvon,AU,-24.8667,113.6333,71.78,72,5,11.14,clear sky
236,Havelock,US,34.8791,-76.9013,66.18,90,0,8.05,clear sky
237,Chone,EC,-0.6833,-80.1,75.56,74,76,9.86,broken clouds
238,Oranjemund,NA,-28.55,16.4333,60.98,88,0,6.11,clear sky
239,Zorgo,BF,12.2489,-0.6158,76.41,19,57,7.94,broken clouds
240,Takoradi,GH,4.8845,-1.7554,78.85,83,95,5.39,overcast clouds
241,Constantine,DZ,36.365,6.6147,43.77,81,42,3.62,scattered clouds
242,Kichmengskiy Gorodok,RU,59.9816,45.7854,7.27,98,65,2.04,broken clouds
243,Vila Velha,BR,-20.3297,-40.2925,76.95,94,100,9.22,overcast clouds
244,Kununurra,AU,-15.7667,128.7333,87.78,40,93,3.44,overcast clouds
245,Virginia Beach,US,36.8529,-75.978,62.02,92,75,9.22,broken clouds
246,Cabo San Lucas,MX,22.8909,-109.9124,78.62,69,0,10.36,clear sky
247,Molodizhne,UA,48.1773,32.6601,29.55,53,95,10.85,overcast clouds
248,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.93,97,99,2.17,overcast clouds
249,Meulaboh,ID,4.1363,96.1285,75.42,88,100,3.36,overcast clouds
250,Victoria,HK,22.2855,114.1577,62.26,77,100,11.99,overcast clouds
251,Marystown,CA,47.1666,-55.1483,29.32,63,7,5.28,clear sky
252,Krasnoye,UA,49.9145,24.6134,29.43,95,90,6.08,overcast clouds
253,Mogadishu,SO,2.0371,45.3438,79.2,77,77,12.15,broken clouds
254,Mindelo,CV,16.8901,-24.9804,72.95,68,33,15.73,scattered clouds
255,Santa Luzia,BR,-19.7697,-43.8514,72.5,93,68,3.44,broken clouds
256,Santa Rosa,PH,14.3122,121.1114,81.1,96,99,12.01,overcast clouds
257,Dhidhdhoo,MV,6.8833,73.1,81.27,68,15,1.54,few clouds
