City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Esperance,AU,74.93,few clouds,-33.8667,121.9,Best Western
314,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
320,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
329,Barra Do Bugres,BR,76.46,broken clouds,-15.0725,-57.1811,Hotel American Palace
334,Atar,MR,70.18,clear sky,20.5169,-13.0499,فندق سكليل
350,Atambua,ID,79.41,overcast clouds,-9.1061,124.8925,Hotel Matahari
358,Grand Gaube,MU,72.37,broken clouds,-20.0064,57.6608,Coco Villa
359,Manta,EC,73.18,broken clouds,-0.95,-80.7333,La Gaviota
362,Aden,YE,78.89,clear sky,12.7794,45.0367,فندق قصر الجزيرة
364,Poso,ID,80.38,overcast clouds,-1.3959,120.7524,Nusantara
374,Puerto Carreno,CO,77.25,broken clouds,6.189,-67.4859,Carreño Plaza
379,Georgetown,MY,80.24,mist,5.4112,100.3354,Page 63 hostel
385,Vao,NC,78.57,broken clouds,-22.6667,167.4833,Nataiwatch
397,Santa Isabel Do Rio Negro,BR,75.2,overcast clouds,-0.4139,-65.0192,Hotel Maikon
402,Mitsamiouli,KM,77.74,clear sky,-11.3847,43.2844,Hotel le Paradis
410,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Paladino
412,Luganville,VU,85.98,overcast clouds,-15.5333,167.1667,Beachfront Resort
414,Vanimo,PG,81.32,overcast clouds,-2.6741,141.3028,CBC Guesthouse
415,Champerico,GT,80.15,light rain,14.3,-91.9167,Hotel y Restaurante El Submarino
417,Santa Maria,BR,75.97,broken clouds,-29.6842,-53.8069,Hotel Morotin
419,Jacareacanga,BR,78.44,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
423,Alta Floresta,BR,72.59,broken clouds,-9.8756,-56.0861,Villas Hotel
428,Labuan,MY,80.96,few clouds,5.2767,115.2417,Labuan Avenue Hotel
431,Ko Samui,TH,78.71,few clouds,9.5357,99.9357,Nathon Residence
437,Anloga,GH,80.49,broken clouds,5.7947,0.8973,Hotel de White House
438,Port Hedland,AU,89.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
445,Kismayo,SO,78.78,broken clouds,-0.3582,42.5454,Kismayo Hotel
449,Nabire,ID,77.54,overcast clouds,-3.3667,135.4833,Hotel Anggrek
450,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Billy's Place
457,Lorengau,PG,85.37,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
468,Quatre Cocos,MU,72.09,light rain,-20.2078,57.7625,Horisun
480,Samana,DO,76.96,light rain,19.2056,-69.3369,Hotel Cotubanamá
481,Itarema,BR,79.3,overcast clouds,-2.9248,-39.9167,Pousada Oásis
485,Le Marin,MQ,76.71,few clouds,14.4721,-60.8697,La Dunette
498,Male,MV,80.71,broken clouds,4.1748,73.5089,Champa Central Hotel
499,Santiago Del Estero,AR,79.47,overcast clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
500,Kavieng,PG,84.38,scattered clouds,-2.5744,150.7967,Kavieng Hotel
501,Port-Gentil,GA,78.84,moderate rain,-0.7193,8.7815,Tara-Mé
505,Omboue,GA,75.88,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
506,Juba,SS,74.97,overcast clouds,4.8517,31.5825,Hotel Juba Regency
507,Ambilobe,MG,75.42,overcast clouds,-13.2,49.05,Hôtel National
510,Imbituba,BR,74.86,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
512,Sinjai,ID,77.31,overcast clouds,-5.1241,120.253,Hotel Sinjai
513,Rio Grande,BR,73.51,few clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
521,Salinopolis,BR,78.87,broken clouds,-0.6136,-47.3561,Hotel Salinópolis
