City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mount Isa,AU,2022-11-23 19:41:48,-20.7333,139.5,73.17,33,64,2.3
67,Khatanga,RU,2022-11-23 19:34:05,71.9667,102.5,-41.19,100,57,1.57
68,Puerto Ayora,EC,2022-11-23 19:39:40,-0.7393,-90.3518,80.56,90,77,7.0
69,Bilma,NE,2022-11-23 19:41:49,18.6853,12.9164,70.05,18,96,9.48
70,Jamestown,US,2022-11-23 19:34:50,42.097,-79.2353,49.51,42,0,0.0
71,Samarai,PG,2022-11-23 19:41:49,-10.6167,150.6667,83.59,74,0,15.05
72,Hamilton,US,2022-11-23 19:41:46,39.1834,-84.5333,59.76,36,0,3.44
73,Cartagena,CO,2022-11-23 19:41:37,10.3997,-75.5144,83.82,79,75,5.75
74,Aklavik,CA,2022-11-23 19:38:24,68.2191,-135.0107,9.41,96,100,7.92
75,Yerbogachen,RU,2022-11-23 19:41:50,61.2767,108.0108,-6.47,96,100,7.54
76,La Ronge,CA,2022-11-23 19:41:50,55.1001,-105.2842,37.65,60,75,5.75
77,Guayaramerin,BO,2022-11-23 19:41:51,-10.8368,-65.3614,86.05,62,75,4.61
78,Avarua,CK,2022-11-23 19:35:51,-21.2078,-159.775,77.05,78,75,12.66
79,Port Lincoln,AU,2022-11-23 19:41:51,-34.7333,135.8667,55.47,78,86,5.28
80,Ontario,US,2022-11-23 19:41:51,34.0633,-117.6509,76.28,20,75,4.61
81,Dikson,RU,2022-11-23 19:41:52,73.5069,80.5464,-21.75,98,82,10.16
82,Hithadhoo,MV,2022-11-23 19:38:18,-0.6,73.0833,80.58,79,100,12.91
83,Sistranda,NO,2022-11-23 19:41:52,63.7256,8.834,37.36,60,9,23.62
84,Ivanteyevka,RU,2022-11-23 19:41:53,55.9711,37.9208,28.06,96,100,5.64
85,Labuhan,ID,2022-11-23 19:41:53,-6.8844,112.2051,79.0,83,90,6.96
86,Mmathubudukwane,BW,2022-11-23 19:41:53,-24.6,26.4333,84.02,23,99,6.35
87,Rio Pardo,BR,2022-11-23 19:41:54,-29.9897,-52.3781,79.43,43,4,4.38
88,Moerai,PF,2022-11-23 19:41:54,-22.4333,-151.3333,73.72,66,83,15.32
89,Staritsa,RU,2022-11-23 19:42:54,56.5075,34.9354,25.23,97,100,5.68
90,Tarbes,FR,2022-11-23 19:42:55,43.25,0.1667,51.91,81,100,5.75
91,Kodiak,US,2022-11-23 19:42:55,57.79,-152.4072,27.91,59,100,6.91
92,Palana,RU,2022-11-23 19:42:55,59.1167,159.9667,18.46,93,100,11.25
93,Aden,YE,2022-11-23 19:42:56,12.7794,45.0367,79.36,74,0,14.5
94,Provideniya,RU,2022-11-23 19:39:30,64.3833,-173.3,13.01,75,100,7.09
95,Ketchikan,US,2022-11-23 19:42:56,55.3422,-131.6461,43.27,87,100,37.98
96,Bathsheba,BB,2022-11-23 19:42:57,13.2167,-59.5167,83.01,78,40,19.57
97,Kalabo,ZM,2022-11-23 19:42:57,-14.97,22.6814,70.52,84,100,0.94
98,Santa Maria,BR,2022-11-23 19:42:57,-29.6842,-53.8069,78.1,41,0,4.61
99,Saskylakh,RU,2022-11-23 19:42:58,71.9167,114.0833,-37.28,100,84,2.26
100,Bethel,US,2022-11-23 19:35:48,41.3712,-73.414,54.01,41,0,1.99
101,Beloha,MG,2022-11-23 19:42:59,-25.1667,45.05,73.26,84,67,12.41
102,Ilulissat,GL,2022-11-23 19:42:59,69.2167,-51.1,17.62,93,75,0.0
103,Longyearbyen,SJ,2022-11-23 19:39:41,78.2186,15.6401,33.64,75,75,9.22
104,Lagoa,PT,2022-11-23 19:42:59,39.05,-27.9833,62.26,74,95,22.73
105,Karratha,AU,2022-11-23 19:43:00,-20.7377,116.8463,77.99,57,73,5.14
106,Cabo San Lucas,MX,2022-11-23 19:33:29,22.8909,-109.9124,80.51,60,20,4.61
107,Biloela,AU,2022-11-23 19:43:00,-24.4167,150.5,71.02,38,98,4.79
108,Padang,ID,2022-11-23 19:41:03,-0.9492,100.3543,75.83,88,100,2.48
109,Narsaq,GL,2022-11-23 19:43:01,60.9167,-46.05,41.22,65,100,12.44
110,Mallaig,CA,2022-11-23 19:43:01,54.2169,-111.3685,35.38,84,4,9.53
111,Susangerd,IR,2022-11-23 19:43:02,31.5608,48.1831,71.55,34,88,1.36
112,Namatanai,PG,2022-11-23 19:43:02,-3.6667,152.4333,78.91,78,98,6.78
113,Puri,IN,2022-11-23 19:43:03,19.8,85.85,68.52,68,57,5.55
114,Coquimbo,CL,2022-11-23 19:43:03,-29.9533,-71.3436,65.93,68,40,11.5
115,Bilibino,RU,2022-11-23 19:40:07,68.0546,166.4372,-15.77,93,100,6.49
116,Atuona,PF,2022-11-23 19:34:48,-9.8,-139.0333,78.24,75,12,15.75
117,Cascais,PT,2022-11-23 19:43:04,38.6979,-9.4215,64.51,93,75,5.01
118,Kadyy,RU,2022-11-23 19:43:05,57.787,43.1903,21.76,89,100,9.24
119,Souillac,MU,2022-11-23 19:43:06,-20.5167,57.5167,75.58,83,40,8.05
120,Waipawa,NZ,2022-11-23 19:43:06,-41.4122,175.5153,57.38,64,0,18.54
121,Ishigaki,JP,2022-11-23 19:43:07,24.3448,124.1572,71.73,88,75,12.66
122,Shu,KZ,2022-11-23 19:43:07,43.5983,73.7614,41.25,89,100,5.88
123,Thompson,CA,2022-11-23 19:37:06,55.7435,-97.8558,30.36,93,75,6.91
124,Upernavik,GL,2022-11-23 19:38:21,72.7868,-56.1549,21.65,89,93,11.32
125,Mount Gambier,AU,2022-11-23 19:37:12,-37.8333,140.7667,53.67,69,99,4.94
126,Laguna,US,2022-11-23 19:39:09,38.421,-121.4238,64.29,55,0,6.91
127,Santa Fe,AR,2022-11-23 19:43:01,-31.6333,-60.7,92.01,23,4,8.01
128,La Palma,US,2022-11-23 19:43:08,33.8464,-118.0467,76.1,47,20,3.44
129,Iqaluit,CA,2022-11-23 19:43:09,63.7506,-68.5145,1.13,84,20,13.8
130,Airai,TL,2022-11-23 19:43:09,-8.9266,125.4092,61.99,86,100,1.01
131,Coihaique,CL,2022-11-23 19:37:00,-45.5752,-72.0662,59.61,71,100,8.05
132,Nanortalik,GL,2022-11-23 19:43:10,60.1432,-45.2371,30.96,74,100,11.63
133,Rock Sound,BS,2022-11-23 19:43:11,24.9,-76.2,81.1,75,6,8.52
134,Sorong,ID,2022-11-23 19:43:11,-0.8833,131.25,79.2,82,100,5.91
135,Tiksi,RU,2022-11-23 19:36:36,71.6872,128.8694,-25.28,100,100,4.03
136,Vanavara,RU,2022-11-23 19:44:11,60.34,102.2797,-3.93,98,100,3.98
137,Tessalit,ML,2022-11-23 19:44:12,20.1986,1.0114,73.69,13,100,10.4
138,Pak Phanang,TH,2022-11-23 19:44:12,8.3511,100.202,76.62,89,98,6.8
139,Harper,LR,2022-11-23 19:44:13,4.375,-7.7169,78.76,84,36,8.37
140,Rantepao,ID,2022-11-23 19:44:13,-2.9701,119.8978,66.88,95,100,2.64
141,Ancud,CL,2022-11-23 19:44:14,-41.8697,-73.8203,55.29,97,100,12.17
142,Nikolskoye,RU,2022-11-23 19:34:19,59.7035,30.7861,24.69,81,82,4.88
143,Presidente Franco,PY,2022-11-23 19:39:35,-25.5333,-54.6167,82.92,41,0,6.91
144,Bengkulu,ID,2022-11-23 19:38:25,-3.8004,102.2655,74.53,90,99,6.24
145,Wattegama,LK,2022-11-23 19:44:15,6.7989,81.4808,73.53,92,89,2.59
146,Ende,ID,2022-11-23 19:44:16,-8.8432,121.6623,77.56,76,100,2.89
147,Matamoros,MX,2022-11-23 19:44:17,25.5333,-103.25,75.11,42,10,1.16
148,Alofi,NU,2022-11-23 19:44:17,-19.0595,-169.9187,80.49,74,12,11.5
149,Bagdarin,RU,2022-11-23 19:44:18,54.4333,113.6,1.9,96,100,2.19
150,Grand Gaube,MU,2022-11-23 19:44:18,-20.0064,57.6608,76.37,70,0,1.99
151,Yamada,JP,2022-11-23 19:44:19,39.4667,141.95,51.28,93,100,10.18
152,Ballina,AU,2022-11-23 19:44:19,-28.8667,153.5667,62.78,75,99,6.2
153,Altea,ES,2022-11-23 19:44:19,38.5989,-0.0514,70.38,69,0,10.83
154,Bambous Virieux,MU,2022-11-23 19:37:08,-20.3428,57.7575,76.21,83,40,8.05
155,Yulara,AU,2022-11-23 19:44:20,-25.2406,130.9889,59.94,85,0,5.17
156,Sarangani,PH,2022-11-23 19:44:20,5.4033,125.4636,80.82,79,94,9.66
157,Sao Joao Da Barra,BR,2022-11-23 19:44:21,-21.6403,-41.0511,80.69,84,100,14.63
158,Vila Franca Do Campo,PT,2022-11-23 19:37:45,37.7167,-25.4333,61.21,86,100,14.16
159,Sabang,ID,2022-11-23 19:44:21,5.8933,95.3214,80.67,77,96,16.2
160,Kahului,US,2022-11-23 19:35:49,20.8947,-156.47,78.84,70,20,14.97
161,Miracema Do Tocantins,BR,2022-11-23 19:44:22,-9.5618,-48.3967,72.97,94,100,3.71
162,Deputatskiy,RU,2022-11-23 19:44:23,69.3,139.9,-30.24,99,97,1.97
163,Fortuna,US,2022-11-23 19:38:20,40.5982,-124.1573,60.93,78,0,3.0
164,Muroto,JP,2022-11-23 19:44:23,33.2833,134.15,62.11,66,100,8.43
165,Aleksandrovskoye,RU,2022-11-23 19:44:24,44.7142,43.0008,44.56,94,68,6.02
166,Torbay,CA,2022-11-23 19:44:24,47.6666,-52.7314,35.76,92,100,16.11
167,Sangar,RU,2022-11-23 19:44:25,63.9242,127.4739,-23.73,98,95,2.91
168,Savannah Bight,HN,2022-11-23 19:44:25,16.45,-85.85,80.47,73,22,2.06
169,Hualmay,PE,2022-11-23 19:44:19,-11.0964,-77.6139,70.7,74,14,8.9
170,San Cristobal,VE,2022-11-23 19:44:26,7.7669,-72.225,77.18,87,87,1.25
171,Pangnirtung,CA,2022-11-23 19:38:38,66.1451,-65.7125,5.0,72,20,5.75
172,Yumen,CN,2022-11-23 19:44:26,40.2833,97.2,36.82,33,45,20.07
173,Nome,US,2022-11-23 19:44:27,64.5011,-165.4064,6.87,85,0,4.61
174,Maniitsoq,GL,2022-11-23 19:44:27,65.4167,-52.9,29.82,55,24,8.32
175,Keti Bandar,PK,2022-11-23 19:44:28,24.1447,67.4497,76.5,49,2,7.47
176,Havoysund,NO,2022-11-23 19:44:28,70.9963,24.6622,28.63,62,0,8.37
177,Shirgaon,IN,2022-11-23 19:44:28,19.7,72.7,72.21,47,85,8.75
178,Hoquiam,US,2022-11-23 19:44:29,46.9809,-123.8893,51.93,90,75,8.05
179,Lebu,CL,2022-11-23 19:35:17,-37.6167,-73.65,61.99,80,3,15.3
180,Vanimo,PG,2022-11-23 19:44:29,-2.6741,141.3028,76.77,90,100,4.52
181,Sumbuya,SL,2022-11-23 19:44:30,7.6467,-11.9611,77.65,84,100,2.3
182,Edgewater,US,2022-11-23 19:45:30,28.9889,-80.9023,76.03,88,100,13.8
183,Mortka,RU,2022-11-23 19:45:30,59.3322,66.0214,-6.34,94,5,4.65
184,Georgetown,MY,2022-11-23 19:35:43,5.4112,100.3354,80.53,96,40,6.91
185,Chokurdakh,RU,2022-11-23 19:45:31,70.6333,147.9167,-28.12,100,68,6.58
186,Tual,ID,2022-11-23 19:45:31,-5.6667,132.75,80.85,80,100,7.63
187,Tambovka,RU,2022-11-23 19:45:32,50.0969,128.0489,-13.52,100,74,2.64
188,Yichun,CN,2022-11-23 19:45:32,47.7,128.9,4.73,99,70,0.4
189,Yellowknife,CA,2022-11-23 19:32:00,62.456,-114.3525,21.72,93,100,8.05
190,Port Hardy,CA,2022-11-23 19:45:33,50.6996,-127.4199,46.58,87,100,24.16
191,Tenri,JP,2022-11-23 19:45:33,34.5833,135.8333,55.99,80,86,9.08
192,Cidreira,BR,2022-11-23 19:39:30,-30.1811,-50.2056,68.11,72,99,10.76
